Trial Number	Score	Time Taken	Data Location
0	3651	31.968245029449463	reedata0
1	4887	109.15563821792603	reedata1
2	4005	51.692150831222534	reedata2
3	4123	64.05763697624207	reedata3
4	4100	95.49345183372498	reedata4
5	4751	93.9061233997345	reedata5
6	3930	45.01937961578369	reedata6
7	3981	48.66138029098511	reedata7
8	3962	36.22026610374451	reedata8
9	3890	67.33424830436707	reedata9
