Score	Moogles Eaten	Time Taken	Data Location
7931	99	165.46482801437378	no dead stack max
Score	Moogles Eaten	Time Taken	Data Location
7641	90	142.94562983512878	no dead stack max
Score	Moogles Eaten	Time Taken	Data Location
6617	77	147.16927361488342	no dead stack max
